Unnamed: 0;DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;MÊS;ANO
221;2004-07-04;2004-07-10;NORDESTE;BAHIA;ETANOL HIDRATADO;410;R$/l;1.483;0.129;1.141;1.99;0.452;0.087;1.031;0.172;0.5528;1.6438;0.167;7;2004
222;2004-07-04;2004-07-10;NORDESTE;CEARA;ETANOL HIDRATADO;275;R$/l;1.513;0.157;1.18;1.8;0.317;0.104;1.196;0.088;0.8572;1.3894;0.074;7;2004
223;2004-07-04;2004-07-10;NORDESTE;MARANHAO;ETANOL HIDRATADO;102;R$/l;1.642;0.129;1.35;2.0;0.451;0.079;1.191;0.132;0.9614;1.6045;0.111;7;2004
224;2004-07-04;2004-07-10;NORDESTE;PARAIBA;ETANOL HIDRATADO;131;R$/l;1.374;0.088;1.23;1.699;0.315;0.064;1.059;0.095;0.8377;1.2486;0.09;7;2004
225;2004-07-04;2004-07-10;NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;410;R$/l;1.31;0.1;1.08;1.7;0.239;0.076;1.071;0.088;0.836;1.2981;0.082;7;2004
226;2004-07-04;2004-07-10;NORDESTE;PIAUI;ETANOL HIDRATADO;95;R$/l;1.658;0.093;1.45;1.786;0.513;0.0559999999999999;1.145;0.127;0.9634;1.3808;0.111;7;2004
227;2004-07-04;2004-07-10;NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;128;R$/l;1.37;0.073;1.2;1.59;0.312;0.053;1.058;0.104;0.7869;1.3143;0.098;7;2004
228;2004-07-04;2004-07-10;NORDESTE;SERGIPE;ETANOL HIDRATADO;57;R$/l;1.378;0.053;1.272;1.541;0.243;0.038;1.135;0.083;0.9171;1.2274;0.073;7;2004
229;2004-07-04;2004-07-10;NORTE;ACRE;ETANOL HIDRATADO;33;R$/l;1.916;0.129;1.64;2.2;0.625;0.067;1.291;0.21;0.801;1.48;0.163;7;2004
230;2004-07-04;2004-07-10;NORTE;AMAPA;ETANOL HIDRATADO;15;R$/l;1.949;0.149;1.75;2.15;0.414;0.076;1.535;0.171;1.3424;1.8465;0.111;7;2004
